company,description,experience,location,salary,technologies,title
1648 Factory,"<div class=""b-typo vacancy-section"">
				<p>The client is a leading Consulting company from Germany. They are now looking to expand the portfolio of products for existing and new clients. You’ll be working on a project which is data-driven.<br><br><b>Requirements:</b> <br>— Excellent problem-solving skills and attention to detail.<br>— 5+ years of experience with Python<br>— Strong communication skills, abstracting and communicating complex technical concepts to technical and business stakeholders.<br>— Able to work independently on all technical aspects of the application (database, backend, frontend) since the candidate will be the sole developer of this app for several months.<br>— Strong backend capabilities and familiarity with Python. <br>— Additionally, an ideal candidate is already familiar with Flask and Python data/vis libraries (Pandas, Plotly, Dash). Otherwise, the candidate needs to be able to pick up these technologies quickly.<br>— Able to work with databases and do data modeling tasks (PostgreSQL).<br>— Frontend capabilities and being able to refine the front-end of the web application independently. Ideally, the candidate is already familiar with HTMX and Bootstrap.<br>— Upper-intermediate English.<br>— Optional: Familiarity with GenAI concepts (Agents, RAG, relevant libraries like langchain).<br><br><b>Responsibilities:</b> <br>— Developing complex functionality on Python.<br>— Implementing complex user stories.<br>— Work with product owners, developers, and quality analysts to drive delivery and participate in all phases of software development.<br><br><strong>We offer:</strong> <br>— A working environment with plenty of scope for creativity.<br>— Independent work with a well-rehearsed team in the background.<br>— Remote work from Ukraine.<br>— Competitive salary with a long term contract.<br>— Attractive compensation package (20 days of vacation, 5 sick days — 100% compensation).<br>— Super-experienced international team.<br>— Trust and support from the management team.<br>— High degrees of responsibility and autonomy.<br>— Agile teams where your ideas and solutions are valued.</p>
			</div>",3-5 years, віддалено,,"python,flask,postgresql,pandas,agile",Senior Full-stack Engineer (Python+JS)
Solidgate,"<div class=""b-typo vacancy-section"">
				<p><a href=""https://solidgate.com/"" target=""_blank""><b>Solidgate</b></a> — це платформа для оркестрації та процесингу платежів, що допомагає тисячам компаній приймати платежі онлайн. Ми розробляємо інноваційні фінтех-рішення, щоб забезпечити безперебійну обробку платежів для бізнесів у понад 150 країнах світу, від Європи до ЛАТАМу, від США до Азії. Пишаємось бути частиною історії кожної компанії, з якою працюємо — наша інфраструктура гарантує швидкий скейл на нових ринках та збільшення прибутків.</p><p><b>Про нас:</b> <br>— Офіси в 3х країнах: Україні, Польщі та на Кіпрі<br>— Топовий роботодавець за версією DOU<br>— 200+ людей в команді<br>— 200+ клієнтів з України, Європи та США<br>— Статус Principal Member у Visa та Mastercard<br>— Ліцензія ЕМІ в ЄС</p><p><b>Наші переваги:</b> <br>— FinTech — швидкозростаюча індустрія<br>— Backend-driven продукт зі складними логіками, архітектурою та <strong><a href=""https://solidgate-tech.github.io/"" target=""_blank"">сучасним стеком технологій </a></strong><i><br></i>— складні виклики та прямий вплив кожного члена команди на ріст бізнесу<br>— можливість розвитку та професійного росту — «career plan» є у кожного<br>— команда, яка горить спільною метою, має спільне бачення та цінності</p><p>Зараз ми шукаємо амбітного<b> </b><strong>Python Engineer </strong>в команду <strong>Integrations</strong>, що повністю відповідає за весь процесинг платежів та інтеграцію з банками. Ти будеш одним з перших інженерів, які будуть впроваджувати Python як повноцінний BE стек в компанії.<br><br><b>Чим ти будеш займатись:</b></p><ul><li>Працювати над інтеграціями з банками та платіжними провайдерами;</li><li>Розбиратись із сервісами платіжних провайдерів наряду з такими гігантами як Visa, Mastercard та Paypal;</li><li>Допомогати в розробці платформених та інтеграційних платформених компонентів: logging, metrics, service template, kafka, psp common, etc.;</li><li>Писати тести різного рівня з використанням підходу Shift Left testing;</li><li>Працювати над метриками з Buf(gRPC)/REST, VictoriaMetrics, Loki, Terraform, etc.</li></ul><p><b>Отже, що потрібно, аби приєднатися до нас:</b></p><ul><li>4+ роки досвіду в розробці комерційного софту на Python (not Django);</li><li>досвід з Flask/FastApi/AIOHTTP;</li><li>покриття коду тестами для тебе це must;</li><li>досвід побудови високонавантажених систем;</li><li>досвід роботи з реляційними базами даних PostgreSQL або MySQL;</li><li>досвід роботи з message brokers: RabbitMQ/Kafka/Nats;</li><li>ініціативність та вміння приймати рішення;</li><li>проактивність і націленість на результат;</li><li>високий рівень самоорганізації та самонавчання.</li></ul><p><b>Круто, якщо ти маєш:</b></p><ul><li>досвід роботи у фінтех чи фінансовій сфері;</li><li>пет проєкти на Go/Kotlin/Java/Node.js;</li><li>досвід з Docker, K8S;</li><li>досвід з сервісами Amazon.</li></ul><p><b>Наші корпоративні бенефіти:</b> <br>— медичне страхування та корпоративний лікар<br>— понад 30 дей оффів протягом року (20 робочих днів відпустки + вихідні на державні свята)<br>— безкоштовні снеки, сніданки та обіди в офісі<br>— професійне навчання (курси, тренінги, конференції, сертифікації)<br>— щорічне performance review<br>— компенсація спорту/клуби за інтересами<br>— конкурентна оплата праці<br>— сучасна техніка Apple</p><p><b>Хочеш стати частиною команди?</b> <br>Тоді відкинь усі сумніви та сміливо натискай «<b>відгукнутися на вакансію</b>» 😉</p><p><b>Ми завжди відкриті до рекомендацій талановитих людей!</b></p><p>Тож якщо ти хочеш порекомендувати свого знайомого на одну з наших вакансій — це можна зробити <a href=""https://form.jotform.com/242773079524362"" target=""_blank""><b>тут</b></a>. У випадку успішного найму — віддячимо бонусом!</p>
			</div>",5+ years, Київ,,"python,django,flask,fastapi,docker,git,postgresql,mysql,rabbitmq,fastapi,kafka",Senior Python Engineer
Preply,"<div class=""b-typo vacancy-section"">
				<h3><strong>At Preply, we are unlocking human potential through learning.</strong></h3><p>We believe learning with a great tutor is life-changing. That’s why we match online tutors from across the globe with learners and empower them to create live language classes with AI-powered tools and learning materials. This is how we deliver progress, create engagement and keep our global community of learners motivated. So far, over 32,000 tutors have given more than 15 million lessons to learners from over 175 countries.</p><p><br>The <strong>Preply Engineering Team</strong> provides the tools to help unlock human potential through learning.</p><p>We work primarily with Python/Django to build scalable and robust applications. We implement A/B tests to prove the value of our initiatives and improve our product based on data and students and tutors feedback. As part of our commitment to ensuring high-quality products, we prioritize monitoring and metrics analysis to identify areas for optimization and ensure our services are performing at their best. Our team is made up of talented engineers who are passionate about solving complex problems and developing innovative solutions to drive our company’s success.</p><p>At Preply, we release our product <nobr>50-60</nobr> times per day by leveraging top-notch CI/CD processes. As a fast-growing company we have diverse technical challenges (sometimes we even write about them on our Engineering Blog) that will allow you to develop your skills at scale. </p><h3><strong>Meet the team!</strong></h3><p>You will be working in a cross-functional Growth team alongside 5 other engineers, Product Manager, Tech Lead, Data Analytics, Engineering Manager to deliver the best first experience to our users (upper funnel) </p><h3><strong>What you’ll be doing:</strong></h3><ul><li>Exploring new strategic bets for the company </li><li>Developing features and A\B tests around the first users’ experience, from Matching with the Tutor to the First student’s lessons on a platform (growth upper funnel)</li><li>Supporting a product team in ideation, hypothesis validation, and experimentation </li><li>Improving the observability and quality of the system</li><li>Making our best practices even better (test culture, code reviews, monitoring and scalability of our tools)</li><li>Collaborating with Product Manager, Researchers and Data leaders to ensure the best user experience </li></ul><h3><strong>What you need to succeed:</strong></h3><ul><li>A great collaborator with excellent verbal and written communication skills. Minimum B2 English level.</li><li>Senior-level experience building modern applications in Python\ Django</li><li>React or other frontend-focused language experience to occasionally contribute to our FE systems.</li><li>Be data-oriented. Work closely with production data and our Data Analyst to find insights. SQL, Amplitude, Looker skills are beneficial.</li><li>Be pragmatic. Balance short-term speed of development with the long-term technical quality of our systems.</li><li>Be a leader. You will need to solve problems with a high degree of uncertainty and many stakeholders </li><li>Expertise in troubleshooting issues, identifying the root cause, mitigating it, and adding setting up safeguards to prevent future issues.</li><li>Bring your voice and ideas to the team, thinking beyond the code and about our customers.</li><li>Willingness to be on-call for your squad (1 week every 5 weeks).</li></ul><h3><strong>Why you’ll love it at Preply: </strong></h3><ul><li>Open, collaborative, dynamic and diverse culture.</li><li>Generous monthly allowance for lessons on <a href=""http://preply.coma/"" target=""_blank"">Preply.com</a> .</li><li>Learning &amp; Development budget, including time off for your self-development.</li><li>Competitive financial package with equity, leave allowance and health insurance.</li><li>Access to free mental health support platforms.</li><li>Opportunity to shape the lives of learners and tutors from over 175 countries through language learning and teaching.</li></ul><p>But there’s more. At Preply, we focus on doing better every day — pushing the limits of what we know is possible. And we know our purpose is strong. We’re re-engineering education, providing outstanding experiences for our global community of language learners and building authentic connections across the world. You’ll get to be a part of our online learning innovation!</p><p>Propelled by a tenfold increase in revenues over the last three years, thanks to our best-in-class consumer and B2B products, <strong>Preply is now leading the online language tutoring segment globally and has 500+ employees of over 50 nationalities based across Barcelona, Kyiv and the US</strong>. </p><p>We do extraordinary things at Preply — and we want you to join us. If you’re committed to curiosity, love experimentation and relish the challenge of exploring new ideas, then it’s time we say: </p><p><strong>Welcome to The World Class. </strong></p><h3><strong>Our Principles</strong></h3><ul><li><strong>Care to change the world</strong> — We are passionate about our work and care deeply about its impact to be life changing.</li><li><strong>We do it for learners</strong> — For both Preply and tutors, learners are why we do what we do. Every day we focus on empowering tutors to deliver an exceptional learning experience.</li><li><strong>Keep perfecting </strong>— To create an outstanding customer experience, we focus on simplicity, smoothness, and enjoyment, continually perfecting it as every detail matters.</li><li><strong>Now is the time</strong> — In a fast-paced world, it matters how quickly we act. Now is the time to make great things happen.</li><li><strong>Disciplined execution</strong> — What makes us disciplined is the excellence in our execution. We set clear goals, focus on what matters, and utilize our resources efficiently.</li><li><strong>Dive deep</strong> — We leverage business acumen and curiosity to investigate disparities between numbers and stories, unlocking meaningful insights to guide our decisions.</li><li><strong>Growth mindset</strong> — We proactively seek growth opportunities and believe today’s best performance becomes tomorrow’s starting point. We humbly embrace feedback and learn from setbacks.</li><li><strong>Raise the bar</strong> — We raise our performance standards continuously, alongside each new hire and promotion. We build diverse and high-performing teams that can make a real difference.</li><li><strong>Challenge, disagree and commit</strong> — We value open and candid communication, even when we don’t fully agree. We speak our minds, challenge when necessary, and fully commit to decisions once made.</li><li><strong>One Preply </strong>— We prioritize collaboration, inclusion, and the success of our team over personal ambitions. Together, we support and celebrate each other’s progress.</li></ul><h3><strong>Diversity, Equity, and Inclusion</strong></h3><p>Preply is committed to creating a diverse and inclusive environment where people from all backgrounds can thrive. Different opinions and viewpoints are key ingredients in our success as a multicultural Ed-Tech company. </p><p>Preply will consider all applications for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or veteran status. Together, we are The World Class.</p>
			</div>",5+ years, Київ,,"python,django,ci/cd,scala,react",Senior Back-End Engineer (Python)
Roosh,"<div class=""b-typo vacancy-section"">
				<p>Hello, future Rooshmate.</p><p>At <strong>Roosh Investment Group</strong> we back founders, funders, and forward-thinkers to grow businesses and co-create the technologies that will enrich the world. </p><p>Roosh invests in companies focused on capitalization (by Roosh Ventures firm) and profitability (by Roosh X). We’re a dedicated team of investors, entrepreneurs and operators. With over 10 years of expertise, we act as partners in growing businesses rather than mere financial backers.</p><p>Besides, Roosh’s portfolio includes such companies as a deep-tech company Zibra AI, an R&amp;D company Neurons Lab, a multi-product company Reface, the Roosh Circle and AI HOUSE tech communities, and others.</p><p>We are looking for <strong>Full Stack Engineer</strong> who will develop a platform from scratch and be fully responsible for it. We need a person, who can react and implement the changes in rapid startup environment. Our engineering team consists of highly skilled professionals. Join us building new AI solution from scratch working together with ML team.</p><p><strong>You will:</strong></p><ul><li>participate in decisions regarding application architecture and database design,</li><li>take responsibility for the development of the backend and frontend in collaboration with the ML team,</li><li>improve the existing processes, and architecture, enhance logging, alerting, technical stack,</li><li>work allocation of around 60% on the Back End and 40% on the Front End,</li><li>preparing ideas for product development.</li></ul><p><strong>About you:</strong></p><ul><li>3+ years of relevant Full Stack experience,</li><li>experience of the web development,</li><li>experience with AWS(S3, SQS, DocumentDB, EC2, ECS, Lambda),</li><li>experience with Node.js, TypeScript and frameworks: Nest.js, Fastify, Express,</li><li>experience with Frontend frameworks and libraries: React, Next.js,</li><li>experience with NoSQL DBs(MongoDB/CosmosDB/Redis),</li><li>experience with RBDMS(Postgres/MySQL),</li><li>experience with containers(Docker, Container services like ECS, Kubernetes),</li><li>experience with analytics services integration,</li><li>experience with CI/CD.</li></ul><p><strong>As a Rooshmate, you will have:<br></strong>— The coolest team ever<br>You will join striving and open-minded professionals to share ideas and shape the future.<br>— Time-off policy to take your time<br>Twenty-one days of vacation, long and short-term sick leaves, compensatory days off, maternity and paternity leaves, and more — everything for you to make up your life according to your needs.<br>— Medical insurance<br>Perfectly packed health care covering dental.<br>— Boosting your expertise<br>We’re interested in accelerating your growth — hence we compensate for your professional development courses and conferences. You will get access to all Roosh educational or business activities, where we engage top-notch experts from diverse areas to master hard and soft skills. <br>— Financial support in various life circumstances<br>We will support you in joy and sorrow of this unpredictable life.</p><p><br><strong><b>How the hiring process goes</b>?</strong></p><p>Our hiring process is designed to ensure that we are a perfect match. So be ready to come across:<br>— interview with Recruiter: we’ll talk about Roosh and answer all your questions,<br>— tech interview: we want to see how you think, bring ideas, and work with info. Then we’ll give you feedback,<br>— call with your future Manager: we’ll discuss the role and the project in detail,<br>— reference check: during the process, we’ll contact your previous workplaces to hear something even more exciting about you.</p><p>Still not sure whether to go for Roosh or not? Check our values to resonate with yours first <a href=""https://marvelous-boursin-f86.notion.site/Roosh-Values-f1471f14133446e5a1c1477d66bd14b6"" target=""_blank"">here</a>. Anyway, thanks for your interest.</p><p>We’ll review your CV and everything you have sent us within five working days. If your background meets our needs — we’ll set up a call to get to know each other better. Otherwise, we aren’t quite ready to get along with you at this moment. But no worries — our journey has just started, and we’d love to stay in touch as our team grows and more opportunities emerge. We wish you the best of luck with your aspiration.</p>
			</div>",1-3 years, віддалено,,"docker,kubernetes,ci/cd,mysql,mongodb,redis,aws,react",Full Stack Engineer (Roosh)
White Label,"<div class=""b-typo vacancy-section"">
				<p>White Label is looking for a Python/ML Developer to join our team</p><h3>Requirements:</h3><ul><li> 5+ years of commercial experience with Python</li><li> LLMs on unstructured text for tasks such as information extraction and text generation</li><li> LLMs on structured tasks</li><li> Utilize software engineering best practices for version control, code review, testing, and documentation to maintain high-quality, reliable, and reproducible data science workflows</li><li> Fast API (nice to have)</li><li> Azure cloud experience (nice to have)</li><li> English level — minimum B2</li></ul><h3>From when:</h3><ul><li> November 2024</li></ul><h3>We offer:</h3><ul><li> Work in a multinational team and great domain of new experience</li><li> This is a 100% remote job or on-sight in our offices during CET office hours</li><li> Feel empowered with a friendly team, open-door policy, informal atmosphere within the company, and regular team-building events</li><li> The ability to focus on your work: a lack of bureaucracy and micromanagement, and convenient corporate services</li><li> A perfect environment for learning and self-development with allowance for educational material</li></ul>
			</div>",5+ years, за кордоном,,"python,azure",Python/ML Developer
Binary Studio,"<div class=""b-typo vacancy-section"">
				<p>We are looking for a skilled Python Machine Learning Engineer to join our healthcare project for U.S. hospitals. The ideal candidate will have a strong background in machine learning, data analysis, and software development. You will work on designing, developing, and deploying machine learning models that drive hospital staffing decisions.</p><p><strong>Responsibilities:</strong></p><ul><li><em>Model Development:</em> Design, develop, and train machine learning models to solve complex problems.</li><li><em>Data Analysis:</em> Analyze and preprocess large datasets to extract meaningful insights and features.</li><li><em>Algorithm Implementation:</em> Implement machine learning algorithms using Python and associated libraries (e.g., scikit-learn, TensorFlow, PyTorch).</li><li><em>Performance Optimization:</em> Optimize and fine-tune models for performance, scalability, and accuracy.</li><li><em>Deployment:</em> Deploy machine learning models into production using tools such as Docker, Kubernetes, and cloud services (AWS).</li><li><em>Collaboration:</em> Work closely with data scientists, software engineers, and other stakeholders to integrate machine learning solutions into products and services.</li><li><em>Documentation:</em> Document processes, models, and results for knowledge sharing and reproducibility.</li><li><em>Research:</em> Stay updated with the latest research and advancements in machine learning and AI, and apply new techniques to improve existing systems.<br><strong><br></strong></li></ul><p><strong>Talents you will bring in our team:</strong></p><ul><li>5+ years of experience in machine learning, data analysis, and software development.</li><li>Proficiency in Python and popular machine learning libraries (e.g., scikit-learn, TensorFlow, Keras, PyTorch).</li><li>Strong understanding of machine learning algorithms and statistical methods.<br>Experience with data preprocessing techniques and tools (e.g., pandas, NumPy).</li><li>Knowledge of software engineering practices, including version control (Git), testing, and code reviews.</li><li>Familiarity with AWS cloud platform and containerization technologies (Docker, Kubernetes).</li><li>Experience with Postgres databases.</li><li>Strong problem-solving skills and analytical thinking.</li><li>Excellent communication and collaboration skills.</li><li>Ability to work independently and as part of a team in a fast-paced environment.</li><li>Strong organizational skills and attention to detail.<strong><br></strong></li></ul><p><strong>It would be nice if you have:<br></strong></p><ul><li>Experience with deep learning frameworks (e.g., TensorFlow, PyTorch).</li><li>Knowledge of timeseries modeling.</li><li>Ability to research and implement ML models.</li><li>Previous experience implementing successful models</li></ul><p><b><br>What we offer:</b></p><ul><li>Ambitious goals and interesting projects</li><li>We have one of the most competitive software development academy in Ukraine — Binary Studio Academy. In 2023, it became international and attracted more than 15,000 applicants. It’s a free online initiative that offers intensive training to participants. As a member of our team, you’ll have the opportunity to enroll as a coach or lecturer in the academy and hone your leadership and project management skills!</li><li>Regular &amp; transparent performance and salary review based on results of work</li><li>Mentorship and Personal Development Plans for everyone in the company by request</li><li>Regular educational events from our internal experts (you can be one of them)</li><li>Possibility for both vertical or horizontal growth</li></ul><p><b>Benefits program:</b></p><ul><li>Paid vacation, paid sick leaves, 10 Public holidays, additional days off</li><li>Educational budget and support in receiving certificates/attending conferences, etc.</li><li>English lessons</li></ul><p><b>Comfortable Working conditions:</b></p><ul><li>Flexible working hours</li><li>Amortization program or provision of required equipment</li></ul><p><b>Community:</b></p><ul><li>Various corporate events (psychological training, based on employees’ needs to care about mental health, New Year celebration, team buildings, etc)</li><li>Celebration of important personal and project milestones (project successes, B-days, anniversaries, marriage, childbirth)</li><li>Support of team members during russian aggression (evacuation, safe accommodation in Western Ukraine, financial support for those who joined Armed Forces, donations, etc.).</li></ul>
			</div>",5+ years," за кордоном, віддалено",,"python,docker,kubernetes,git,aws,scala,pandas,numpy,scikit-learn,machine learning,tensorflow,pytorch,keras,data analysis",Python Machine Learning Engineer
Intellias,"<div class=""b-typo vacancy-section"">
				<p>Let’s breathe life into great tech ideas! With more than 3 000 people globally, Intellias is a company where benchmark technological solutions are born. Join in and take your part in digitalizing the world.</p><h3><b>What project we have for you</b></h3><p>Extract scenes from the real world allowing top automotive companies to simulate their autonomous driving solutions.</p>

<h3><b>What you will do</b></h3><ul><li>Participate in the development, and maintenance of Python applications. </li><li>Troubleshoot and debug applications to resolve issues. </li><li>Write clean, efficient, and self-documented code. </li><li>Implement automation tests. </li><li>Collaborate with team members to identify and solve technical problems. </li><li>Participate in code reviews to ensure code quality and maintainability. </li><li>Work with stakeholders to gather and analyze requirements and provide technical solutions. </li><li>Monitor application performance and provide optimization recommendations. </li><li>Stay up to date with the latest technologies and industry trends. </li></ul>

<h3><b>What you need for this</b></h3><ul><li>6+ years of experience working as a Python Engineer or in a similar role. </li><li>Strong proficiency in Python programming and knowledge of object-oriented programming principles. </li><li>Solid understanding of algorithms and data structures. </li><li>Experience with OpenSearch / Elastic Search i.e. Understanding how the index’s works and how the layer are stitched together, also how to create schemas.</li><li>Experience in Prompt Engineering to maintain, enhance or modify the prompts used for AWS Bedrock.</li><li>Proficiency in ETL, protobuf. </li><li>Experience with Amazon Web Services (AWS). </li><li>Experience with API Gateway, Lambda’s, Step-Functions.</li><li>Proficiency in version control systems, particularly Git. </li><li>Knowledge of Agile methodologies, such as Scrum, and experience working in Agile teams. </li><li>Strong problem-solving skills and the ability to debug and optimize code. </li><li>Excellent communication and teamwork skills, with the ability to collaborate effectively with cross-functional teams. </li></ul><p>Will be a plus:</p><ul><li>Experience with HDLive maps, Open Drive, etc. </li></ul>

<h3><b>What it’s like to work at Intellias</b></h3><p>At Intellias, we are committed to being an equal opportunity employer, fostering equity, diversity, and inclusion. We welcome and celebrate the differences of all qualified applicants. Join Intellias for a career where your unique perspectives are not only valued but crucial to our success.</p>
			</div>",3-5 years, віддалено,,"python,git,aws,etl,agile",Lead/Principal Python Engineer
OGD Solutions,"<div class=""b-typo vacancy-section"">
				<p>OGDSolutions is a European IT Company with a large network of 1000+ vetted Software Engineers.</p><p>Our mission is to build relationships by connecting Developers with our Clients’ Projects.</p><p>OGDSolutions is the secret ingredient to your career. You don’t have to quit your main job to join us! You can collaborate with us fully or partially while continuing to work at your primary job.</p><p>With a substantial Partner network comprising over 200+ IT Companies across 10 countries globally, we also collaborate with numerous Startups seeking to build and expand their development teams.</p><p>We are delighted to embrace new team members who not only enhance our technical expertise but also embrace open communication and opportunities for growth.</p><p>In this vacancy you can see Required and Bonus Technologies, as well as a block with our Requirements if these requirements match your skills and experience we will be incredibly happy to have you apply for the vacancy.</p><p><b>Requirements</b>:</p><ul><li>Workload: Full-Time;</li><li>Seniority Level: Senior;</li><li>Years of Experience: 5+ years;</li><li>Cooperation: Remote;</li><li>English: B2.</li></ul><p><b>Required technologies</b>:</p><ul><li>4+ years experience with Python;</li><li>4+ years experience with Django.</li></ul><p><b>Bonus technologies:</b></p><ul><li>CI/CD;</li><li>Flask;</li><li>Fast API;</li><li>AWS;</li><li>PostgreSQL;</li><li>MongoDB;</li><li>GraphQL;</li><li>RESTful API;</li><li>Redis;</li><li>Docker.</li></ul><p><b>What do we offer:</b></p><ul><li>100% Remote Work;</li><li>Exclusive long-term remote Projects from IT Companies and Startups;</li><li>The ability to choose which Project you prefer to work on;</li><li>Flexible working hours;</li><li>Legal agreements to ensure your security;</li><li>Clear and straightforward recruitment process;</li><li>The dependable support of our Support Manager;</li><li>Partnership equal partnership for all, not just Clients.</li></ul><p><strong>Thank you for taking the time to review our job posting thoroughly. If you find that you match the criteria and conditions outlined, we would greatly appreciate your application through our website at:</strong></p><p><strong><a href=""https://ogd-solutions.com/vacancies/python-developer"" target=""_blank"">ogd-solutions.com/...​acancies/python-developer</a></strong></p><p><strong>Applying directly via the provided link will expedite the review of your application, ensuring a prompt response from our team.</strong></p>
			</div>",5+ years, віддалено,$32004200,"python,django,flask,docker,ci/cd,postgresql,mongodb,redis,aws,graphql",Senior Python Developer
Rolique,"<div class=""b-typo vacancy-section"">
				<p>Our customer is a company that provides an end-to-end express delivery network infrastructure + operating system utilizing the US commercial airlines for ecommerce delivery. Product’s zone skips packages to all final mile providers including UPS, Fedex, USPS, regional carriers and gig drivers enabling retailers faster delivery at lower rates.</p><p><strong>Requirements:<br></strong></p><p>● have 4+ years of commercial experience with Python<br>● experience working with different databases<br>● proficiency in designing, building, and maintaining RESTful APIs<br>● experience working with CI/CD pipelines<br>● knowledge of cloud environments such as AWS<br>● strong problem-solving skills and ability to work independently and collaboratively<br>● english — Upper-intermediate level or higher</p><p><strong>Would be a plus:<br></strong></p><p>● degree in Computer Science or a related field|<br>● experience being the Lead of the project</p><p><strong>What you will do:<br></strong></p><p>● write clean, reusable, testable, and efficient code<br>● be responsible for developing and maintaining the server-side logic for the company’s products to design and deploy new features and technologies<br>● be involved in decision-making process of the project<br>● develop some solutions from scratch</p><p><strong>Why Rolique?<br></strong></p><p>● we believe in fairness, transparency and helpfulness in everyday work<br>● your personal development is important to us, therefore we promote the internal transfer of knowledge and strengthen your “zone of genius”</p>
			</div>",3-5 years," Львів, Вроцлав (Польща), віддалено",,"python,ci/cd,aws",Python developer
Preply,"<div class=""b-typo vacancy-section"">
				<h3> <b>At Preply, we are unlocking human potential through learning.</b></h3><p>We believe learning with a great tutor is life-changing. That’s why we match online tutors from across the globe with learners and empower them to create live language classes with AI-powered tools and learning materials. This is how we deliver progress, create engagement and keep our global community of learners motivated. So far, over 32,000 tutors have given more than 15 million lessons to learners from over 175 countries.</p><p><br>The <b>Preply Engineering Team</b> provides the tools to help unlock human potential through learning.</p><p>We work primarily with Python/Django to build scalable and robust applications. We implement A/B tests to prove the value of our initiatives and improve our product based on data and students and tutors feedback. As part of our commitment to ensuring high-quality products, we prioritize monitoring and metrics analysis to identify areas for optimization and ensure our services are performing at their best. Our team is made up of talented engineers who are passionate about solving complex problems and developing innovative solutions to drive our company’s success.</p><p>At Preply, we release our product <nobr>50-60</nobr> times per day by leveraging top-notch CI/CD processes. As a fast-growing company we have diverse technical challenges (sometimes we even write about them on our Engineering Blog) that will allow you to develop your skills at scale. </p><p><b>Meet the team!</b></p><p>You will be working in a cross-functional team alongside five other engineers, Product Manager, Tech Lead, Data Analytics, Engineering Manager to deliver the best first experience to our users (upper funnel) </p><p><b>What you’ll be doing:</b></p><ul><li>Exploring new strategic bets for the company </li><li>Developing features and A\B tests around the first users’ experience, from Matching with the Tutor to the First student’s lessons on a platform (growth upper funnel)</li><li>Supporting a product team in ideation, hypothesis validation, and experimentation </li><li>Improving the observability and quality of the system</li><li>Making our best practices even better (test culture, code reviews, monitoring and scalability of our tools)</li><li>Collaborating with Product Manager, Researchers and Data leaders to ensure the best user experience </li></ul><p><b>What you need to succeed:</b></p><ul><li>A great collaborator with excellent verbal and written communication skills. Minimum B2 English level.</li><li>Senior-level experience building modern applications in Python\ Django</li><li>Be data-oriented. Work closely with production data and our Data Analyst to find insights. SQL, Amplitude, Looker skills are beneficial.</li><li>Be pragmatic. Balance short-term speed of development with the long-term technical quality of our systems.</li><li>Be a leader. You will need to solve problems with a high degree of uncertainty and many stakeholders </li><li>Expertise in troubleshooting issues, identifying the root cause, mitigating it, and adding setting up safeguards to prevent future issues.</li><li>Bring your voice and ideas to the team, thinking beyond the code and about our customers.</li><li>Willingness to be on-call for your squad (1 week every 5 weeks).</li></ul><p><b>Why you’ll love it at Preply: </b></p><ul><li>Open, collaborative, dynamic and diverse culture.</li><li>Generous monthly allowance for lessons on <a href=""http://preply.coma/"" target=""_blank"">Preply.com</a> .</li><li>Learning &amp; Development budget, including time off for your self-development.</li><li>Competitive financial package with equity, leave allowance and health insurance.</li><li>Access to free mental health support platforms.</li><li>Opportunity to shape the lives of learners and tutors from over 175 countries through language learning and teaching.</li></ul><p>But there’s more. At Preply, we focus on doing better every day — pushing the limits of what we know is possible. And we know our purpose is strong. We’re re-engineering education, providing outstanding experiences for our global community of language learners and building authentic connections across the world. You’ll get to be a part of our online learning innovation!</p><p>We do extraordinary things at Preply — and we want you to join us. If you’re committed to curiosity, love experimentation and relish the challenge of exploring new ideas, then it’s time we say: </p><p><b>Welcome to The World Class. </b></p><p><b>Our Principles</b></p><ul><li><b>Care to change the world</b> — We are passionate about our work and care deeply about its impact to be life changing.</li><li><b>We do it for learners</b> — For both Preply and tutors, learners are why we do what we do. Every day we focus on empowering tutors to deliver an exceptional learning experience.</li><li><b>Keep perfecting </b>— To create an outstanding customer experience, we focus on simplicity, smoothness, and enjoyment, continually perfecting it as every detail matters.</li><li><b>Now is the time</b> — In a fast-paced world, it matters how quickly we act. Now is the time to make great things happen.</li><li><b>Disciplined execution</b> — What makes us disciplined is the excellence in our execution. We set clear goals, focus on what matters, and utilize our resources efficiently.</li><li><b>Dive deep</b> — We leverage business acumen and curiosity to investigate disparities between numbers and stories, unlocking meaningful insights to guide our decisions.</li><li><b>Growth mindset</b> — We proactively seek growth opportunities and believe today’s best performance becomes tomorrow’s starting point. We humbly embrace feedback and learn from setbacks.</li><li><b>Raise the bar</b> — We raise our performance standards continuously, alongside each new hire and promotion. We build diverse and high-performing teams that can make a real difference.</li><li><b>Challenge, disagree and commit</b> — We value open and candid communication, even when we don’t fully agree. We speak our minds, challenge when necessary, and fully commit to decisions once made.</li><li><b>One Preply </b>— We prioritize collaboration, inclusion, and the success of our team over personal ambitions. Together, we support and celebrate each other’s progress.</li></ul><p><b>Diversity, Equity, and Inclusion</b></p><p>Preply is committed to creating a diverse and inclusive environment where people from all backgrounds can thrive. Different opinions and viewpoints are key ingredients in our success as a multicultural Ed-Tech company. </p><p>Preply will consider all applications for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or veteran status. Together, we are The World Class.</p>
			</div>",5+ years, Київ,,"python,django,ci/cd,scala",Back-End Engineer (Python)
